id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_scores_rating_missing,review_scores_accuracy_missing,review_scores_cleanliness_missing,review_scores_checkin_missing,review_scores_communication_missing,review_scores_location_missing,review_scores_value_missing,is_new_listing,amenities_count,has_air_conditioning,has_pool,has_gym,has_wifi,has_kitchen,has_washer,distance_to_center_km,host_years,name_length,description_length,dist_to_mrt_km,dist_to_mall_km,host_response_score,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_East Region,neighbourhood_group_cleansed_North Region,neighbourhood_group_cleansed_North-East Region,neighbourhood_group_cleansed_West Region,property_type_Campsite,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Private room,property_type_Private room in barn,property_type_Private room in bed and breakfast,property_type_Private room in bungalow,property_type_Private room in casa particular,property_type_Private room in castle,property_type_Private room in condo,property_type_Private room in earthen home,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in serviced apartment,property_type_Private room in townhouse,property_type_Private room in train,property_type_Private room in vacation home,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hostel,property_type_Room in hotel,property_type_Room in serviced apartment,property_type_Shared room,property_type_Shared room in bed and breakfast,property_type_Shared room in boutique hotel,property_type_Shared room in bungalow,property_type_Shared room in cave,property_type_Shared room in dome,property_type_Shared room in guesthouse,property_type_Shared room in home,property_type_Shared room in hostel,property_type_Shared room in hotel,property_type_Shared room in rental unit,property_type_Tiny home
819034,1584407,0.97,0.68,0.0,5,5,1,1,1.30492,103.90315,4,2.0,2.0,1.5,314.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,1.0,0,0,0,0,40,0,0,0,0,0,0.0,4.78,4.83,4.83,4.7,4.78,4.78,4.83,0,4,2,2,0,0.26,0,0,0,0,0,0,0,0,39,1,0,0,1,1,1,5.291048701517783,13.728767123287671,28,152,0.3277331097048095,0.4892169297007556,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
819044,1584407,1.0,0.99,0.0,5,5,1,1,1.30425,103.90097,2,1.0,1.0,1.0,95.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,1.0,0,0,0,0,70,0,0,0,0,0,0.0,4.54,4.81,4.76,4.66,4.76,4.78,4.55,0,4,2,2,0,0.45,0,0,0,0,0,0,0,0,21,1,0,0,1,1,1,5.041397704569441,13.728767123287671,19,208,0.4818831092858453,0.5954493695239248,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
823571,4177147,1.0,0.99,0.0,1,1,1,1,1.31313,103.91479,1,1.0,1.0,1.0,95.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,4.75,4.8,4.73,4.93,4.93,4.86,4.6,0,1,0,1,0,0.0,1,1,1,1,1,1,1,1,3,1,0,0,1,0,0,6.8618163400518055,12.868493150684932,24,7,0.7197252938939067,1.707673939650906,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
833289,4360831,1.0,0.99,0.0,1,3,1,1,1.27716,103.82299,2,1.0,1.0,2.0,172.0,730,1125,730.0,730.0,1125.0,1125.0,730.0,1125.0,1.0,30,60,90,365,2,0,0,95,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.249147624402287,12.810958904109588,30,256,1.1108759959435004,1.4327533552630838,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
863139,2413412,0.89,0.67,0.0,91,182,1,1,1.30775,103.86162,1,1.0,1.0,1.0,95.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,1.0,0,0,0,92,2,0,0,0,0,0,0.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,91,2,89,0,0.02,0,0,0,0,0,0,0,0,30,1,1,0,1,1,1,2.7095273414489065,13.36986301369863,36,306,0.13412235777979825,1.1826954427223901,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
881253,2413412,0.89,0.67,0.0,91,182,1,1,1.28485,103.84317,1,1.0,1.0,1.0,76.0,92,1124,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,27,57,87,362,3,0,0,92,0,0,0.0,4.0,4.0,3.67,4.67,4.67,4.67,4.33,1,91,2,89,0,0.02,0,0,0,0,0,0,0,0,30,1,0,0,1,1,1,1.9554160307689894,13.36986301369863,49,430,0.06154533222383986,1.78002434549083,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
904378,4837194,1.0,0.0,0.0,1,2,1,1,1.30046,103.82786,2,1.0,1.0,1.0,222.0,92,120,92.0,92.0,120.0,120.0,92.0,120.0,1.0,12,42,72,347,34,0,0,77,0,0,0.0,4.71,4.63,4.79,4.7,4.94,4.76,4.55,0,1,1,0,0,0.26,0,0,0,0,0,0,0,0,69,0,1,0,1,1,1,4.114153620685713,12.684931506849315,49,398,0.48503505317666,0.6068830614529541,2.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
962594,2413412,0.89,0.67,0.0,91,182,1,1,1.30663,103.86243,1,1.0,1.0,1.0,82.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,1.0,27,57,87,362,2,0,0,92,0,0,0.0,5.0,4.5,4.0,5.0,5.0,5.0,4.0,1,91,2,89,0,0.02,0,0,0,0,0,0,0,0,30,1,1,0,1,1,1,2.590207642651788,13.36986301369863,36,306,0.09123191722768761,1.1434473599939532,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
982909,4723385,1.0,0.0,0.0,1,1,1,1,1.33389,103.83454,1,1.0,1.0,1.0,85.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,1.0,28,58,88,268,247,0,0,93,1,0,0.0,4.87,4.92,4.91,4.94,4.92,4.78,4.81,0,1,0,1,0,1.63,0,0,0,0,0,0,0,0,57,1,1,1,1,1,1,6.322708884862657,12.706849315068494,33,83,0.6962549900717045,2.4295025240966868,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1024986,5643415,0.97,0.68,0.0,1,1,1,0,1.29245,103.83742,2,1.0,1.0,1.5,314.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,0.0,0,0,0,0,258,0,0,0,0,0,0.0,4.84,4.89,4.78,4.93,4.95,4.84,4.73,0,1,1,0,0,1.78,0,0,0,0,0,0,0,0,43,1,0,0,1,1,1,2.7767292462109685,12.517808219178082,20,397,0.4436847592363209,1.1168508857930237,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
